Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2020,"12        ",Female,17,Right-Handed,152.4,23,148,2,Car,15,0.524,59,None,1000,567,1000,1000,556,791,19,"Right foot",70,70,"Same length",August,Spring,No,No,Fruit,Tea,Art,6,12,4,"Yes - dial-up connection","Text messaging",3,8,7,2,1,9,2,2,3,1,3,5,none,none,Some,"Graduate degree",Pop,Telepathy,Rich,"Musician or singer","International aid"
USA,TX,2020,"12        ",Male,17,Right-Handed,162.5,162.5,,1,Walk,15,0.257,44,Running/Jogging,200,200,400,300,500,700,162.5,"Same length",,,"Same length",June,Winter,No,No,Meat,Water,Science,6,9,3,"Yes - broadband connection","Cell phone",0,4,1,1,5,7,14,7,6,1,15,0,0,7,Some,"Graduate degree",Pop,"Super strength",Happy,"Business person",Health
USA,TX,2020,"12        ",Male,18,Right-Handed,183,30,178,2,Car,18,0.356,36,Baseball/Softball,150,400,450,650,650,1000,30,"Same length",51,60,"Ring finger",December,Summer,No,No,Meat,"Sports drink","Physical education",6,8,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",298,287,15,7,5,20,21,11,9,9,7,14,15,6,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Religious figure",Religious
USA,TX,2020,"12        ",Female,17,Right-Handed,167.6,23.5,154,2,Car,5,.783,47,Other,1000,1000,1000,1000,555,666,24,"Left foot",71,70,"Index finger",July,Fall,No,No,Pizza/Pasta,Water,Music,5,7,6,"Yes - other","Text messaging",11,12,0,.5,7,150,5,0,5,3,125,3,0,100,"A lot","Graduate degree",Other,"Freeze time",Healthy,"Musician or singer","Arts, culture, sports"
USA,TX,2020,"12        ",Female,17,Right-Handed,172.7,25,177.5,1,Car,20,.355,37,Walking/Hiking,1000,1000,1000,1000,600,800,25,"Same length",72,70,"Index finger",November,Winter,No,No,Fruit,Water,Science,7,5,4,"Yes - broadband connection","Text messaging",15,20,0,5,10,7,2,1,0,5,20,3,0,4,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Relative,"Wildlife, animals"
USA,TX,2020,"12        ",Male,17,Right-Handed,175cm,25.4,68,2,Car,10,0.3,47,Skateboarding/Rollerblading,1000,1000,807,733,513,524,68,"Same length",100,80,"Index finger",June,Summer,Yes,No,Meat,Water,History,8,12,6,"Yes - broadband connection","Text messaging",30,25,0,6,12,0,0,5,5,2,12,0,25,6,"A lot","Undergraduate degree","Rap/Hip hop",Invisibility,Happy,Relative,Health
USA,TX,2020,"12        ",Female,17,Right-Handed,165,30,183,1,Car,12,.347,42,Swimming,1000,1000,471,187,358,358,32,"Left foot",50,50,"Same length",February,Summer,No,No,Pizza/Pasta,Water,English,6,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",35,48,50,4,20,10,10,1,7,2,3,2,20,5,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Relative,"Wildlife, animals"
USA,TX,2020,"12        ",Female,17,Right-Handed,5'2,25,157,2,Bus,10,0.483,53,Walking/Hiking,1000,810,1000,943,788,1000,26,"Left foot",63,69,"Ring finger",April,Fall,No,No,Desserts,"Soft drink (caffeinated)",Science,8,10,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",3,5,0,0,8,3,0,0,9,0,5,2,0,1,"A lot","Graduate degree","Punk rock",Telepathy,Rich,"Musician or singer",Health
USA,TX,2020,"12        ",Male,17,Right-Handed,173,25,160,1,Car,8,.62,45,Golf,700,500,700,700,400,800,25,"Same length",76,76,"Same length",August,Fall,No,No,"No favorite",Water,"Mathematics and statistics",7-8,9,4,"Yes - broadband connection","Text messaging",20,20,2,1,15,5,6,6,7,10,20,60,0,5,Some,"Some college","Rap/Hip hop","Freeze time",Healthy,"Business person",Environment
USA,TX,2020,"12        ",Male,17,Right-Handed,205.7,27.9,165.1,2,Car,8min,0.373,52,"Football (American)",1000,1000,800,500,500,500,27.9,"Same length",88.9,88.9,"Same length",March,Spring,No,No,"No favorite",Tea,"Physical education",8,11,5,"Yes - broadband connection","Text messaging",2,5,3,1,6,2,0,0,1,1,24/7,1,6,0,"A lot","High school","Rap/Hip hop",Fly,Healthy,Relative,Health
USA,TX,2020,"12        ",Male,17,Right-Handed,170,24,171.5,2,Car,5,.412,30,Soccer,1000,785,1000,1000,385,906,24,"Same length",75,75,"Same length",August,Summer,No,No,Meat,Water,"Mathematics and statistics",8,9,5,"Yes - broadband connection","Text messaging",50,50,10-15,10,20,8,10,10,7,1,50,4,15-20,7,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Religious figure","International aid"
USA,TX,2020,"12        ",Female,18,Right-Handed,5'8,56,,2,Car,15,,,,,,,,,,,,,,,,Spring,No,No,"Rice/Noodle dishes",Coffee,Other,6,11,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",200,200,10,1,4,,,,,,,,,,Some,"Undergraduate degree",Pop,"Super strength",Rich,Actor,
USA,TX,2020,"12        ",Female,17,Right-Handed,162.6,23.5,160,1,Car,15,.698,38,Tennis,882,882,1000,1000,230,765,23.5,"Same length",70.7,70.5,"Index finger",December,Fall,Yes,No,Fruit,Water,Music,7,9,4,"Yes - other","Text messaging",50,200,7,3,5,4,10,0,7,5,40,7,0,2,"A lot","Graduate degree",Pop,Telepathy,Happy,"Musician or singer","International aid"
USA,TX,2020,"12        ",Female,17,Right-Handed,163,20,32,2,Car,17,0.391,33,None,1000,1000,1000,1000,380,599,20,"Same length",106,3,"Index finger",December,Winter,No,No,"Rice/Noodle dishes",Coffee,Science,7,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",182,200,0,1,12,8,2,6,48,2,60,0,0,3,"A lot","Graduate degree",Pop,Invisibility,Healthy,Relative,Environment
USA,TX,2020,"12        ",Female,17,Right-Handed,172.7,17.78,167.6,1,Bus,40,.449,35,Tennis,1000,305,1000,1000,1000,1000,17.78,"Same length",63.5,63.5,"Same length",September,Winter,No,No,Seafood,Water,"Physical education",8,11,5,"Yes - broadband connection","Text messaging",5,4,2,4,2,1,1,0,0,6,2,8,4,2,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,Health
USA,TX,2020,"12        ",Male,17,Right-Handed,"5,8",22,idk,1,Car,5,0.381,24,Soccer,500,500,500,600,600,500,22,"Same length",idk,idk,"Index finger",June,Winter,No,No,"No favorite","Soft drink (caffeinated)","Computers and technology",8,10,5,"Yes - broadband connection","Text messaging",6,18,8,1,2,60,6,10,11,1,11,11,22,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,Environment
USA,TX,2020,"12        ",Female,17,Right-Handed,154,21,147,1,Car,20,0.319,47,Running/Jogging,947,642,278,487,1000,1000,22,"Left foot",60,65,"Ring finger",June,Winter,No,No,"Rice/Noodle dishes",Water,History,8,7,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",115,121,0,0,4,1,1,0,12,3,10,0,0,1,"A lot","Graduate degree",Pop,"Freeze time",Rich,"Musician or singer","International aid"
USA,TX,2020,"12        ",Male,16,Right-Handed,190.5,29,198.1,1,Bus,15,.357,46,Basketball,500,500,600,500,700,700,29,"Same length",75,83,"Ring finger",April,Fall,No,No,Poultry,Water,"Mathematics and statistics",5-8,5,4,"Yes - broadband connection","Text messaging",0,2,,,,,,,,,,,,,"A lot","Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person",Other
USA,TX,2020,"12        ",Female,16,Right-Handed,5’6,6.5,,1,Bus,,,,Basketball,,,,,,,,,,,,May,Fall,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)","Physical education",5,8,4,"Yes - other","In person",15,20,,,,,,,,,,,,,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,,
USA,TX,2020,"12        ",Female,17,Right-Handed,5'4,23,150cm,2,Car,3,.373,,Soccer,,,,,,,,,,,,October,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",,,,,,,,,,,,,,,,,,,Happy,,
USA,TX,2020,"12        ",Female,17,Left-Handed,5'3,23,33,1,Car,10,0.326,39,Dancing,695,797,636,636,471,471,24,"Same length",50,88,"Ring finger",December,Fall,No,No,Pizza/Pasta,Tea,Science,6,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",56,72,6,10,8,4,5,1,9,10,24+,0,29,6,"A lot","Graduate degree",Other,Telepathy,Rich,"Musician or singer",Environment
USA,TX,2020,"12        ",Female,16,Right-Handed,5`2,7,15,2,Bus,15,0.9,61,Dancing,508,567,567,701,583,439,13,"Same length",1,2,"Same length",December,Winter,Yes,No,Desserts,"Powdered drink",Other,8,10,5,"Yes - dial-up connection","Text messaging",3,3,0,".35 s",2,5,4,1,1,1,1,2,2,5,Some,"Graduate degree",Classical,Fly,Happy,Actor,Health
USA,TX,2020,"11        ",Female,14,Right-Handed,165,24,172,2.5,Car,8,0.439,60,Other,1000,900,750,800,850,1000,24.5,"Left foot",66,73,"Ring finger",June,Fall,Yes,No,Poultry,Juice,"Mathematics and statistics",7.5,11.5,4,"Yes - broadband connection","Text messaging",5,4,0.1,0.1,10,15,2,10,7,1,50,13,0,2,"Very little","Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Wildlife, animals"
USA,TX,2020,"12        ",Male,16,Right-Handed,182cm,27,190,1,Car,15,0.371,44,Basketball,0,1000,840,1000,428,561,27,"Same length",,76,"Same length",August,Winter,No,No,Pizza/Pasta,Water,History,8,9,6,"Yes - other","Text messaging",60,65,15,10,7,12,20,10,5,2,12,1,0,8,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Musician or singer",Environment
